epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.313,1.45333,1.84231,1.46827,0.56453,0.41799,0.4359,0.21022,1.70596,1.96817,1.71473,0.000663623,0.000663623,0.000663623
2,228.593,1.63596,1.74163,1.61435,0.49817,0.42281,0.40112,0.17459,1.87168,1.9122,1.82323,0.00130395,0.00130395,0.00130395
3,338.437,1.67968,1.71792,1.65294,0.50099,0.38693,0.40022,0.18344,1.91128,1.89665,1.87955,0.00191788,0.00191788,0.00191788
4,451.459,1.63848,1.67018,1.62455,0.50982,0.42418,0.41737,0.1947,1.78392,2.35102,1.72424,0.0018812,0.0018812,0.0018812
5,562.024,1.593,1.57709,1.59133,0.66095,0.4768,0.54003,0.28111,1.69329,1.56456,1.67621,0.0018416,0.0018416,0.0018416
6,677.313,1.56834,1.52713,1.57296,0.65615,0.49211,0.55008,0.28092,1.65561,1.93208,1.64246,0.001802,0.001802,0.001802
7,788.267,1.5401,1.4851,1.54828,0.66368,0.48206,0.55925,0.31373,1.59788,1.47682,1.6211,0.0017624,0.0017624,0.0017624
8,900.561,1.49797,1.44095,1.5329,0.72447,0.50155,0.58526,0.32206,1.61182,1.48226,1.63764,0.0017228,0.0017228,0.0017228
9,1014.84,1.48137,1.40719,1.51119,0.71437,0.53479,0.62598,0.35847,1.49169,1.33592,1.51715,0.0016832,0.0016832,0.0016832
10,1126.92,1.44884,1.38558,1.48593,0.69964,0.54372,0.62156,0.35591,1.48894,1.334,1.51917,0.0016436,0.0016436,0.0016436
11,1237.31,1.44481,1.35643,1.49177,0.73782,0.55645,0.64379,0.37391,1.48035,1.28494,1.51239,0.001604,0.001604,0.001604
12,1348.47,1.41989,1.33569,1.47588,0.74756,0.54315,0.64207,0.38504,1.40731,1.28189,1.45857,0.0015644,0.0015644,0.0015644
13,1460.43,1.38436,1.29705,1.45447,0.73624,0.55794,0.64054,0.37235,1.43632,1.30242,1.48353,0.0015248,0.0015248,0.0015248
14,1571.91,1.37963,1.27871,1.44108,0.73815,0.56929,0.66707,0.39937,1.38344,1.27069,1.43727,0.0014852,0.0014852,0.0014852
15,1685.37,1.36087,1.24047,1.42869,0.75973,0.60123,0.68449,0.40851,1.37115,1.24252,1.44057,0.0014456,0.0014456,0.0014456
16,1798,1.36658,1.25035,1.42658,0.76269,0.59231,0.6888,0.42348,1.3324,1.14525,1.39485,0.001406,0.001406,0.001406
17,1911.4,1.3516,1.21628,1.42314,0.76992,0.59794,0.69344,0.42628,1.33137,1.15225,1.39368,0.0013664,0.0013664,0.0013664
18,2022.56,1.34069,1.20961,1.4202,0.78143,0.59771,0.70448,0.44271,1.30167,1.09738,1.37658,0.0013268,0.0013268,0.0013268
